ID;Nome;CPF;Telefone;Valor_Divida;Dias_Atraso;Faixa_Atraso;Status;Valor_Pago;Operador;Data_Vencimento;Data_Pagamento
79;Claudia Andrade Jr.;000.000.079-51;(48) 97299-8581;1676.69;48;31-60 dias;PAGO;1676.69;Rafael T.;25/06/2025;22/02/2025
80;Juliana Pereira;000.000.080-95;(61) 91641-5059;569.87;45;31-60 dias;PENDENTE;0.0;Rafael T.;20/11/2025;
81;Cíntia Barbosa Jr.;000.000.081-76;(62) 95655-5128;37243.73;168;90+ dias;QUEBRADO;9563.56;Rafael T.;01/11/2025;
82;Juliana Pereira;000.000.082-57;(62) 96381-3093;458.87;178;90+ dias;EM ATRASO;0.0;Diego R.;24/06/2025;
83;Simone Correia;000.000.083-38;(51) 93538-2264;16951.04;58;31-60 dias;PENDENTE;0.0;Diego R.;02/11/2025;
84;Bruno Castro;000.000.084-19;(61) 98170-1715;1338.01;121;90+ dias;EM ATRASO;0.0;Carlos M.;29/08/2025;
85;Cleber Santana;000.000.085-08;(65) 98564-5616;575.5;43;31-60 dias;PENDENTE;0.0;Beatriz K.;10/07/2025;
86;Mateus Gomes;000.000.086-80;(48) 93042-5670;9559.13;55;31-60 dias;EM ATRASO;0.0;Diego R.;14/01/2025;
87;Beatriz Almeida;000.000.087-61;(98) 94862-7326;468.44;42;31-60 dias;EM ATRASO;0.0;Rafael T.;30/08/2025;
88;André Monteiro;000.000.088-42;(47) 98349-1086;7641.36;29;0-30 dias;PAGO;7641.36;Carlos M.;25/01/2025;04/03/2025
89;Osmar Pacheco;000.000.089-23;(65) 92029-2816;1374.32;59;31-60 dias;PENDENTE;0.0;Diego R.;20/10/2025;
90;Leandro Pinto;000.000.090-67;(31) 99576-6908;1162.96;78;61-90 dias;PENDENTE;0.0;Ana Lima;18/01/2026;
91;Eronildo Bezerra;000.000.091-48;(98) 94950-2698;4031.28;25;0-30 dias;EM ATRASO;0.0;Rafael T.;03/09/2025;
92;Leandro Pinto;000.000.092-29;(31) 98498-1605;3860.46;116;90+ dias;PAGO;3860.46;Fernanda S.;08/04/2025;28/11/2025
93;Eronildo Bezerra;000.000.093-00;(21) 96438-5476;7367.82;146;90+ dias;PENDENTE;0.0;Fernanda S.;23/09/2025;
94;Juliana Pereira;000.000.094-90;(31) 98055-3956;3838.98;18;0-30 dias;PENDENTE;0.0;Rafael T.;22/01/2025;
95;Eronildo Bezerra;000.000.095-71;(67) 95498-1939;6076.46;52;31-60 dias;NEGOCIANDO;692.23;Carlos M.;04/02/2025;
96;Rosangela Tavares;000.000.096-52;(21) 93513-8371;1200.08;75;61-90 dias;QUEBRADO;359.57;Beatriz K.;18/07/2025;
97;Felipe Barros;000.000.097-33;(85) 98311-4515;49967.95;20;0-30 dias;NEGOCIANDO;24335.62;Rafael T.;13/06/2025;
98;Letícia Vilaça;000.000.098-14;(91) 95914-3580;1649.28;90;61-90 dias;NEGOCIANDO;182.27;Beatriz K.;11/10/2025;
99;Cleber Santana;000.000.099-03;(51) 92412-2077;6940.04;43;31-60 dias;PENDENTE;0.0;Beatriz K.;15/12/2025;
100;Letícia Vilaça Filho;000.000.100-73;(51) 98088-9238;23890.54;58;31-60 dias;PENDENTE;0.0;Ana Lima;26/05/2025;
101;Sandra Cunha;000.000.101-54;(85) 93050-5961;10910.41;63;61-90 dias;PAGO;10910.41;Ana Lima;16/10/2025;19/04/2026
102;João Pedro Oliveira Neto;000.000.102-35;(71) 97825-1496;1926.31;59;31-60 dias;PAGO;1926.31;Diego R.;22/03/2025;31/01/2025
103;Osmar Pacheco;000.000.103-16;(71) 96573-3353;7852.24;83;61-90 dias;PAGO;7852.24;Fernanda S.;04/03/2025;27/08/2025
104;Elias Medeiros;000.000.104-05;(41) 91829-5754;1771.02;13;0-30 dias;NEGOCIANDO;530.08;Diego R.;21/09/2025;
105;Aurélio Bastos;000.000.105-88;(47) 91379-2475;2303.24;13;0-30 dias;PENDENTE;0.0;Ana Lima;02/10/2025;
106;Mateus Gomes;000.000.106-69;(85) 96992-7606;5319.34;73;61-90 dias;PAGO;5319.34;Beatriz K.;15/12/2025;16/11/2025
107;Felipe Barros Jr.;000.000.107-40;(62) 97114-6555;1165.51;18;0-30 dias;PENDENTE;0.0;Carlos M.;22/08/2025;
108;Humberto Rezende Neto;000.000.108-20;(61) 97438-5902;3798.74;41;31-60 dias;EM ATRASO;0.0;Fernanda S.;26/10/2025;
109;João Pedro Oliveira;000.000.109-01;(85) 94728-1841;1353.55;66;61-90 dias;EM ATRASO;0.0;Carlos M.;26/02/2025;
110;Fernanda Lima;000.000.110-45;(67) 93481-7765;1864.89;74;61-90 dias;PAGO;1864.89;Diego R.;06/12/2025;16/06/2025
111;Jailson Cavalcante;000.000.111-26;(61) 98531-9734;1525.57;72;61-90 dias;PAGO;1525.57;Carlos M.;02/06/2025;13/10/2025
112;Elaine Ramos;000.000.112-07;(71) 99011-6194;1274.91;42;31-60 dias;NEGOCIANDO;202.19;Fernanda S.;22/01/2025;
113;Juliana Pereira;000.000.113-98;(65) 95201-8849;1255.43;37;31-60 dias;PAGO;1255.43;Carlos M.;29/09/2025;09/04/2026
114;Marcos Rocha;000.000.114-79;(92) 98739-2647;2947.65;91;90+ dias;QUEBRADO;1186.03;Fernanda S.;28/05/2025;
115;Claudia Andrade;000.000.115-50;(31) 94804-9767;57187.22;95;90+ dias;PENDENTE;0.0;Carlos M.;11/09/2025;
116;Sérgio Figueiredo;000.000.116-30;(11) 95888-2758;4963.47;149;90+ dias;PAGO;4963.47;Carlos M.;19/06/2025;27/02/2025
117;Célia Braga;000.000.117-11;(61) 91230-6523;7136.88;79;61-90 dias;PAGO;7136.88;Carlos M.;18/02/2025;09/12/2025
118;André Monteiro;000.000.118-00;(81) 91111-5272;6337.3;125;90+ dias;PAGO;6337.3;Fernanda S.;27/08/2025;02/03/2025
119;Natália Mendes;000.000.119-83;(48) 96095-2923;2801.41;70;61-90 dias;PENDENTE;0.0;Diego R.;09/10/2025;
120;Lurdes Xavier;000.000.120-17;(71) 95054-2341;2370.55;17;0-30 dias;PAGO;2370.55;Diego R.;24/09/2025;17/06/2025
121;Priscila Araújo;000.000.121-06;(47) 92489-9361;1006.22;15;0-30 dias;PAGO;1006.22;Rafael T.;02/01/2025;11/05/2025
122;Renato Vieira;000.000.122-89;(21) 97941-6644;7602.65;98;90+ dias;NEGOCIANDO;3735.44;Diego R.;27/11/2025;
123;Cleber Santana;000.000.123-60;(62) 98348-7184;526.08;175;90+ dias;PAGO;526.08;Ana Lima;02/01/2025;25/04/2025
124;Elaine Ramos;000.000.124-40;(67) 99715-7214;20325.41;38;31-60 dias;PENDENTE;0.0;Ana Lima;28/01/2026;
125;Cristiane Azevedo;000.000.125-21;(41) 91550-8314;4633.78;20;0-30 dias;PAGO;4633.78;Rafael T.;30/04/2025;29/05/2025
126;Salvador Borba;000.000.126-02;(92) 94881-5944;24124.84;29;0-30 dias;PENDENTE;0.0;Beatriz K.;07/08/2025;
127;Aurélio Bastos Neto;000.000.127-93;(62) 99592-6222;12096.46;44;31-60 dias;PAGO;12096.46;Beatriz K.;30/01/2025;26/08/2025
128;Neusa Farias;000.000.128-74;(48) 93196-7363;1867.78;67;61-90 dias;PAGO;1867.78;Beatriz K.;06/11/2025;11/12/2025
129;Rafael Souza;000.000.129-55;(71) 94555-8854;3270.85;58;31-60 dias;NEGOCIANDO;1523.49;Beatriz K.;23/12/2025;
130;Aline Nunes;000.000.130-99;(81) 96269-5637;28451.29;45;31-60 dias;PENDENTE;0.0;Carlos M.;13/06/2025;
131;Cleber Santana;000.000.131-70;(21) 94625-3390;13607.71;78;61-90 dias;PENDENTE;0.0;Rafael T.;02/12/2025;
132;Marcelo Duarte;000.000.132-50;(47) 99037-8550;4929.9;6;0-30 dias;PAGO;4929.9;Rafael T.;08/02/2025;18/01/2025
133;Beatriz Almeida;000.000.133-31;(67) 93252-4791;18841.39;3;0-30 dias;QUEBRADO;2002.7;Beatriz K.;30/09/2025;
134;Neusa Farias Neto;000.000.134-12;(91) 91280-9228;1846.61;146;90+ dias;PENDENTE;0.0;Fernanda S.;01/07/2025;
135;Edilene Carmo;000.000.135-01;(65) 94984-4700;6557.52;87;61-90 dias;PAGO;6557.52;Carlos M.;26/12/2025;05/01/2025
136;Juliana Pereira;000.000.136-84;(67) 96427-2562;17635.33;29;0-30 dias;QUEBRADO;3741.32;Beatriz K.;06/10/2025;
137;Mariana Costa;000.000.137-65;(92) 91256-4394;5383.75;141;90+ dias;PENDENTE;0.0;Rafael T.;16/07/2025;
138;André Monteiro;000.000.138-46;(31) 99204-6666;6614.03;120;90+ dias;PAGO;6614.03;Diego R.;19/08/2025;20/05/2025
139;Marcos Rocha;000.000.139-27;(62) 98075-4043;1351.65;22;0-30 dias;QUEBRADO;477.89;Diego R.;14/01/2026;
140;Adriana Campos;000.000.140-60;(31) 91085-6050;448.41;15;0-30 dias;PAGO;448.41;Beatriz K.;17/02/2025;11/10/2025
141;Gustavo Borges;000.000.141-41;(11) 95781-7779;1962.89;162;90+ dias;PAGO;1962.89;Ana Lima;16/03/2025;10/09/2025
142;Rogério Freitas;000.000.142-22;(67) 95911-8933;1525.53;123;90+ dias;PAGO;1525.53;Beatriz K.;20/06/2025;22/07/2025
143;Joelma Reis;000.000.143-03;(92) 98212-6484;531.41;174;90+ dias;EM ATRASO;0.0;Fernanda S.;13/06/2025;
144;Graciele Sampaio;000.000.144-94;(81) 96339-7161;3198.8;57;31-60 dias;PAGO;3198.8;Rafael T.;25/08/2025;08/01/2026
145;Aline Nunes;000.000.145-75;(91) 92133-7703;729.56;46;31-60 dias;PENDENTE;0.0;Diego R.;26/10/2025;
146;Lurdes Xavier;000.000.146-56;(67) 99907-1602;1854.48;83;61-90 dias;PENDENTE;0.0;Rafael T.;16/10/2025;
147;Gilson Fontes;000.000.147-37;(92) 98052-2735;1181.96;34;31-60 dias;NEGOCIANDO;396.47;Carlos M.;14/09/2025;
148;Letícia Vilaça;000.000.148-18;(47) 92712-5840;4089.97;105;90+ dias;PAGO;4089.97;Rafael T.;13/08/2025;19/02/2025
149;Elias Medeiros;000.000.149-07;(91) 91732-2885;7579.53;1;0-30 dias;PAGO;7579.53;Carlos M.;25/08/2025;07/08/2025
150;Gilson Fontes;000.000.150-32;(61) 98080-7481;2026.7;54;31-60 dias;NEGOCIANDO;670.71;Carlos M.;02/10/2025;
151;Rosangela Tavares;000.000.151-13;(65) 92867-5298;832.79;158;90+ dias;PENDENTE;0.0;Rafael T.;30/03/2025;
152;Elaine Ramos;000.000.152-02;(31) 93194-6131;1478.84;4;0-30 dias;PAGO;1478.84;Rafael T.;03/10/2025;22/11/2025
153;Tatiane Cardoso;000.000.153-85;(47) 95732-3298;1771.39;87;61-90 dias;PENDENTE;0.0;Diego R.;01/12/2025;
154;Neusa Farias;000.000.154-66;(67) 98272-9006;2196.17;79;61-90 dias;PENDENTE;0.0;Diego R.;31/01/2026;
155;Odete Cardoso;000.000.155-47;(41) 95389-9898;3311.25;78;61-90 dias;PAGO;3311.25;Diego R.;17/01/2025;24/03/2026
156;Alexandre Melo;000.000.156-28;(31) 98193-2923;1299.47;117;90+ dias;PAGO;1299.47;Ana Lima;16/04/2025;16/04/2025
157;Quesia Dantas;000.000.157-09;(85) 99827-3758;1919.08;70;61-90 dias;NEGOCIANDO;507.86;Fernanda S.;31/01/2025;
158;Gabriela Ribeiro;000.000.158-90;(51) 95090-3396;1449.6;87;61-90 dias;PENDENTE;0.0;Ana Lima;21/11/2025;
159;Gilson Fontes;000.000.159-70;(85) 97046-8449;2558.85;91;90+ dias;NEGOCIANDO;1070.29;Carlos M.;23/07/2025;
160;Edna Guimarães;000.000.160-04;(47) 95399-6289;1262.44;71;61-90 dias;PAGO;1262.44;Ana Lima;24/08/2025;06/02/2026
161;Felipe Barros;000.000.161-95;(61) 98230-8479;1799.65;179;90+ dias;PENDENTE;0.0;Fernanda S.;12/02/2025;
162;Rogério Freitas Neto;000.000.162-76;(81) 98032-2494;3357.15;34;31-60 dias;NEGOCIANDO;1662.67;Rafael T.;05/08/2025;
163;Gabriela Ribeiro;000.000.163-57;(81) 97276-2463;1797.68;56;31-60 dias;EM ATRASO;0.0;Ana Lima;15/03/2025;
164;Jailson Cavalcante;000.000.164-38;(61) 98210-6753;1347.33;110;90+ dias;PAGO;1347.33;Fernanda S.;16/07/2025;09/01/2026
165;Edna Guimarães;000.000.165-19;(51) 95059-5537;24001.75;68;61-90 dias;EM ATRASO;0.0;Beatriz K.;16/04/2025;
166;Humberto Rezende;000.000.166-08;(62) 95842-1894;43490.03;59;31-60 dias;EM ATRASO;0.0;Carlos M.;12/06/2025;
167;Wanderley Queiroz;000.000.167-80;(67) 96986-9951;1609.62;151;90+ dias;PAGO;1609.62;Beatriz K.;23/07/2025;09/02/2026
168;Claudia Andrade;000.000.168-61;(48) 97806-7939;1347.28;43;31-60 dias;NEGOCIANDO;423.8;Beatriz K.;20/07/2025;
169;Camila Rodrigues;000.000.169-42;(67) 94909-1948;1340.9;8;0-30 dias;PAGO;1340.9;Ana Lima;26/12/2025;12/03/2025
170;Natália Mendes;000.000.170-86;(98) 99568-9474;6686.74;26;0-30 dias;PAGO;6686.74;Fernanda S.;08/08/2025;18/02/2026
171;Jailson Cavalcante Jr.;000.000.171-67;(47) 98457-9368;567.43;12;0-30 dias;QUEBRADO;57.33;Carlos M.;07/01/2025;
172;Rafael Souza;000.000.172-48;(62) 93458-3932;11816.76;161;90+ dias;PAGO;11816.76;Beatriz K.;09/02/2025;27/02/2026
173;Cleber Santana Jr.;000.000.173-29;(61) 94656-9450;1615.0;150;90+ dias;PAGO;1615.0;Rafael T.;05/06/2025;06/02/2026
174;Wellington Moura;000.000.174-00;(47) 94201-9954;13889.2;25;0-30 dias;EM ATRASO;0.0;Rafael T.;01/01/2025;
175;Joelma Reis;000.000.175-90;(91) 92703-4361;1953.35;153;90+ dias;NEGOCIANDO;518.07;Diego R.;10/07/2025;
176;Juliana Pereira;000.000.176-71;(48) 93187-7461;12436.85;49;31-60 dias;QUEBRADO;4901.87;Diego R.;12/06/2025;
177;Débora Cavalcante;000.000.177-52;(71) 93230-2785;991.07;34;31-60 dias;PAGO;991.07;Carlos M.;16/02/2025;03/03/2025
178;Elaine Ramos;000.000.178-33;(21) 94522-6370;973.62;122;90+ dias;EM ATRASO;0.0;Beatriz K.;20/08/2025;
179;Odete Cardoso;000.000.179-14;(65) 92669-3290;4233.44;4;0-30 dias;PAGO;4233.44;Ana Lima;08/02/2025;21/02/2026
180;Camila Rodrigues;000.000.180-58;(65) 93110-2506;2303.83;29;0-30 dias;PENDENTE;0.0;Rafael T.;15/07/2025;
181;Edna Guimarães;000.000.181-39;(71) 94066-5505;3474.71;9;0-30 dias;PAGO;3474.71;Carlos M.;16/07/2025;24/05/2025
182;Osmar Pacheco;000.000.182-10;(48) 95082-9907;1628.44;31;31-60 dias;PAGO;1628.44;Ana Lima;23/04/2025;02/11/2025
183;Rodrigo Machado;000.000.183-09;(48) 96856-4813;20530.02;6;0-30 dias;PENDENTE;0.0;Fernanda S.;18/07/2025;
184;Tatiane Cardoso;000.000.184-81;(92) 96878-1462;3129.4;72;61-90 dias;PAGO;3129.4;Ana Lima;20/01/2025;09/09/2025
185;Diego Ferreira;000.000.185-62;(81) 91326-9625;521.83;16;0-30 dias;PAGO;521.83;Carlos M.;27/12/2025;28/10/2025
186;Priscila Araújo;000.000.186-43;(98) 92188-7120;2818.71;23;0-30 dias;EM ATRASO;0.0;Fernanda S.;29/11/2025;
187;Tatiane Cardoso;000.000.187-24;(98) 94657-3872;19934.14;40;31-60 dias;NEGOCIANDO;6518.33;Beatriz K.;04/04/2025;
188;Adriana Campos;000.000.188-05;(81) 92705-9129;3007.32;5;0-30 dias;PENDENTE;0.0;Diego R.;21/06/2025;
189;Carlos Eduardo Santos;000.000.189-96;(81) 92110-6742;10827.75;9;0-30 dias;PENDENTE;0.0;Ana Lima;12/07/2025;
190;Ermando Leite;000.000.190-20;(81) 93664-8393;841.82;56;31-60 dias;QUEBRADO;268.39;Fernanda S.;17/02/2025;
191;Ermando Leite;000.000.191-00;(67) 93703-8113;622.97;6;0-30 dias;PAGO;622.97;Ana Lima;19/02/2025;02/05/2025
192;Edilene Carmo;000.000.192-91;(47) 93516-1893;1425.43;31;31-60 dias;PAGO;1425.43;Ana Lima;31/08/2025;11/02/2025
